"RCP","variables","char_freq"
"R11","Flagindi",4
"R11","Desmvari",4
"R11","Glocferd",4
"R11","Eucatere",4
"R11","Cryptrip",4
"R11","Strebrun",4
"R11","Asplaust",4
"R11","Ripoalbu",4
"R11","Derrinvo",4
"R11","Diplaust",4
"R11","Calamuel",4
"R11","Capparbo",3
"R11","Neoldeal",3
"R11","Arytdist",3
"R11","Pittundu",3
"R11","Elatnerv",3
"R11","Pothlong",3
"R11","Castaust",3
"R11","Pterescu",3
"R11","Linomono",3
"R11","Impecyli",3
"R11","Poa.sieb",2
"R11","Cupaanac",2
"R11","Cleicunn",2
"R11","Flinscho",2
"R11","Alyxrusc",2
"R11","Synoglag",2
"R11","Austdulc",2
"R11","Bleccart",2
"R11","Uvarleic",2
"R11","Dysomolm",2
"R11","Cordrubr",2
"R11","Echiacul",2
"R11","Meloaust",1
"R11","neolaust",1
"R11","Planaust",1
"R11","Hibbscan",1
"R11","Marsrost",1
"R11","Atrachar",1
"R11","Heritrif",1
"R11","Actegran",1
"R11","Archbeck",1
"R11","Carrmult",1
"R11","Endidisc",1
"R11","Sarcstia",1
"R2","Cheisies",67
"R2","Pomaumbe",58
"R2","Lomafili",47
"R2","Callendl",44
"R2","Bracdaph",41
"R2","Meliurce",40
"R2","Goodhede",39
"R2","Dianrevo",39
"R2","Hibbobtu",39
"R2","Leucmuti",36
"R2","Persline",35
"R2","Lomamulm",29
"R2","Lepilate",27
"R2","Calytetr",24
"R2","Entostri",24
"R2","Arisramo",22
"R2","Micrstip",21
"R2","Eucacreb",20
"R2","Gonotetr",18
"R2","Rytipall",16
"R2","Angoflor",15
"R2","Cassarcu",15
"R2","Phylhirt",15
"R2","Lomaconf",15
"R2","Gahnaspe",15
"R2","Lomalong",13
"R2","Dicemicr",12
"R2","Eucapunc",12
"R2","Eucaprav",12
"R2","Hardviol",11
"R2","Cymbrefr",11
"R2","Austscab",10
"R2","Eucafibr",10
"R2","Gonoelat",10
"R2","Styptrif",10
"R2","Poa.sieb",10
"R2","Lomaglau",10
"R2","Pateseri",9
"R2","Arisjeri",9
"R2","Oleaelle",9
"R2","Corytrac",9
"R2","Callglau",8
"R2","Eucablak",8
"R2","Xantjohn",8
"R2","Podoilic",8
"R2","Stypglau",8
"R2","Eucacale",8
"R2","Eucaspar",8
"R2","Eucamacr",8
"R2","Eucaross",8
"R2","Monoscop",8
"R2","Lissstri",7
"R2","Goodbell",7
"R2","Arunnepa",7
"R2","Eucadeal",7
"R2","Dodovisc",7
"R2","Eucaandr",7
"R2","Calocuni",7
"R2","Leptbrev",7
"R2","Persseri",7
"R2","Astrhumi",6
"R2","leptnova",6
"R2","Bursspin",6
"R2","Cleirigi",6
"R2","Plateric",6
"R2","Casslaev",5
"R2","Harmdens",5
"R2","Leucmela",5
"R2","Arisvaga",5
"R2","Eucamann",5
"R2","Angoleio",5
"R2","Diancaer",5
"R2","Acacbuxi",5
"R2","Lepigunn",5
"R2","Acrorigi",5
"R2","Grevflof",5
"R2","Dillphyl",4
"R2","Hypegram",4
"R2","Laxmgrac",4
"R2","Schoapog",4
"R2","Eucadwye",4
"R2","Eucaaggl",4
"R2","Platlanc",4
"R2","Leptarac",4
"R2","Cassquin",4
"R2","Leptpoly",4
"R2","Tracincs",4
"R2","Echicaes",4
"R2","Notemicr",4
"R2","Stylgram",4
"R2","Acacchee",4
"R2","Acacleil",4
"R2","Xantacau",4
"R2","Hakedact",4
"R2","Glycclan",4
"R2","Goodrotu",4
"R2","Eucasidx",4
"R2","Digibrev",4
"R2","Allolueh",4
"R2","Acacdora",4
"R2","Allogymn",4
"R2","Digiramu",4
"R2","Billscan",4
"R2","Desmvari",4
"R2","Acacobti",3
"R2","Leptparv",3
"R2","Alphexce",3
"R2","Crypamar",3
"R2","Ozotobco",3
"R2","Rytiseta",3
"R2","Gonoteuc",3
"R2","Hybamono",3
"R2","Rytieria",3
"R2","Impecyli",3
"R2","Casspube",3
"R2","Sanncunn",3
"R2","Ariscapu",3
"R2","Melaunci",3
"R2","Corrrefl",3
"R2","Jackscop",3
"R2","Perscorn",3
"R2","Acacneri",3
"R2","Rytilong",3
"R2","Halohete",3
"R2","Eucanubi",3
"R2","Perscusp",3
"R2","allodimt",3
"R2","Dichrepe",3
"R2","Phebsquu",3
"R2","Chorspea",3
"R2","Oxalpere",3
"R2","Acactrip",3
"R2","Causflex",3
"R2","Triploli",2
"R2","Dodotria",2
"R2","Grevtrit",2
"R2","damplanl",2
"R2","Leuclanc",2
"R2","Themtria",2
"R2","Laxmcomp",2
"R2","Xantglau",2
"R2","Eucabrid",2
"R2","Crassieb",2
"R2","Einahast",2
"R2","Galigaud",2
"R2","Senepren",2
"R2","Wahlcomm",2
"R2","Eucayoum",2
"R2","Actiheli",2
"R2","Dodofalc",2
"R2","Hibbripa",2
"R2","Lepttrin",2
"R2","Persterm",2
"R2","Oleavisc",2
"R2","Eucamica",2
"R2","Eucasieb",2
"R2","Rytifulv",2
"R2","Hovelanc",2
"R2","Eucadive",2
"R2","Fimbdich",2
"R2","Daucgloc",2
"R2","Bulbsemi",2
"R2","Drospelt",2
"R2","Luzuflac",2
"R2","Hoveline",2
"R2","Acacterm",2
"R2","Lomaobli",2
"R2","Acaclinr",2
"R2","Pultcine",2
"R2","Panieffu",2
"R2","Hydrlaxi",2
"R2","Wahlstri",2
"R2","Eucapola",2
"R2","Cheiaust",2
"R2","Operaspe",2
"R2","Wahllute",2
"R2","Leucatte",2
"R2","Goodglab",2
"R2","Chryapic",2
"R2","Wahlgrai",1
"R2","Eucachlo",1
"R2","Pimelini",1
"R2","Rytirace",1
"R2","Austrudi",1
"R2","Casscunn",1
"R2","Daviulic",1
"R2","Acacmari",1
"R2","Allonana",1
"R2","Bracmuli",1
"R2","Hibbcove",1
"R2","Panisimi",1
"R2","Acacpenn",1
"R2","Acaculic",1
"R2","Operhisp",1
"R2","Triomitc",1
"R2","Melaerub",1
"R2","Acacconf",1
"R2","Poramicr",1
"R2","Bossconc",1
"R2","Persfast",1
"R2","Pultsetu",1
"R2","Pultproc",1
"R2","Wahlplan",1
"R2","Eragbrow",1
"R2","Ajugaust",1
"R2","Hydrsibt",1
"R2","Verncine",1
"R2","Isopdaws",1
"R2","Grevseri",1
"R2","Gerasola",1
"R2","Digidiff",1
"R2","Eucamcki",1
"R2","Senedias",1
"R2","Eucagoni",1
"R2","Allolitt",1
"R2","Macrcomm",1
"R2","Pultmicr",1
"R2","Euchspha",1
"R2","Violbeto",1
"R2","Schoeric",1
"R2","Pterescu",1
"R2","Echiovat",1
"R2","Acacfili",1
"R2","Homoflav",1
"R2","Operdiph",1
"R2","Hibbacic",1
"R2","Leucbifl",1
"R2","Tricelat",1
"R2","Ozotdios",1
"R2","Ariscaly",1
"R2","Glyctaba",1
"R2","Isoppeti",1
"R2","Lomasila",1
"R2","Grevramr",1
"R2","Hibbinca",1
"R2","Acaccaro",1
"R2","Exocstri",1
"R2","Boroglab",1
"R2","Davilept",1
"R3","Pterescu",16
"R3","Leuclanc",15
"R3","Poa.sieb",15
"R3","Lomalong",13
"R3","Desmvari",13
"R3","Pratpurp",12
"R3","Impecyli",11
"R3","Themtria",10
"R3","Eucacamn",10
"R3","Entostri",8
"R3","Violbeto",8
"R3","Hardviol",7
"R3","Diancaer",6
"R3","Glycclan",6
"R3","Rubuparv",5
"R3","Allolitt",4
"R3","Pateglab",4
"R3","Persline",4
"R3","Hibbscan",4
"R3","Bankinte",4
"R3","Billscan",4
"R3","Poramicr",4
"R3","Lomasila",3
"R3","Verncine",3
"R3","Eustlati",3
"R3","Gonotetr",3
"R3","Goodbell",3
"R3","Micrstip",3
"R3","Dicemicr",3
"R3","Gerasola",3
"R3","Lepilate",3
"R3","Digiramu",2
"R3","Monoscop",2
"R3","Stylgram",2
"R3","Violhede",2
"R3","Meliurce",2
"R3","Calodubi",2
"R3","Bossneo.",2
"R3","Eucaobli",2
"R3","Lomafili",2
"R3","Hibbobtu",2
"R3","Sorgleio",2
"R3","Goodhede",2
"R3","Acacmela",2
"R3","Eucacame",2
"R3","Hypegram",2
"R3","Dillphyl",2
"R3","Persoleo",2
"R3","Plecgrav",1
"R3","Xantmala",1
"R3","Brahstua",1
"R3","Leucneoa",1
"R3","Epacmicr",1
"R3","Smilaust",1
"R3","Gonomicr",1
"R3","Meliproc",1
"R3","Podoilic",1
"R3","Derwarcu",1
"R3","Eucadalr",1
"R3","Eucaradi",1
"R3","Hoveline",1
"R3","Baecomis",1
"R3","Halohete",1
"R3","Acacfali",1
"R3","Ozotdios",1
"R3","Styllari",1
"R3","Poalabil",1
"R3","Acacfimb",1
"R3","Eucapauc",1
"R3","Cymbrefr",1
"R3","Hydrlaxi",1
"R3","Desmrhyt",1
"R3","Goodrotu",1
"R3","Echicaes",1
"R3","Tracincs",1
"R3","Ampexiph",1
"R3","Petrcane",1
"R3","Eucacali",1
"R3","Euchjapo",1
"R3","Hydrsibt",1
"R3","Coprquad",1
"R3","Gahnaspe",1
"R3","Solahapa",1
"R3","Leptgreg",1
"R3","Senedias",1
"R3","Bankspin",1
"R3","Bossscor",1
"R3","Chorpauc",1
"R3","Daviulic",1
"R3","Lomafras",1
"R3","Acacobti",1
"R3","Lagnstip",1
"R3","Bleccart",1
"R3","Cyataust",1
"R3","Hakemicr",1
"R3","Lomamulm",1
"R3","Oxalchno",1
"R3","Eucabitu",1
"R3","Jackscop",1
"R4","Poa.sieb",52
"R4","Lomalong",49
"R4","Micrstip",42
"R4","Hydrlaxi",34
"R4","Pterescu",34
"R4","Acaenova",30
"R4","Dichrepe",29
"R4","Gonotetr",28
"R4","Gerasola",26
"R4","Lomafili",23
"R4","Violbeto",23
"R4","Glycclan",22
"R4","Hibbobtu",20
"R4","Stelpung",20
"R4","Hypegram",18
"R4","Violhede",18
"R4","Clemaris",17
"R4","Leuclanc",15
"R4","Desmvari",15
"R4","Eucapauc",14
"R4","Acacdeal",12
"R4","Eucadalr",11
"R4","Themtria",10
"R4","Poa.meio",10
"R4","Sclebifl",10
"R4","Poalabil",9
"R4","Caregaud",9
"R4","Careappr",8
"R4","Eucamacr",8
"R4","Rubuparv",8
"R4","Eucaradi",8
"R4","Elymscab",8
"R4","Hydrsibt",7
"R4","Rumebrow",7
"R4","Eucadive",7
"R4","Aspescop",7
"R4","Lagnstip",7
"R4","Echiovat",7
"R4","Veropleb",7
"R4","Senepren",7
"R4","Diantasm",6
"R4","Poacosti",6
"R4","Dianrevo",6
"R4","Monoscop",6
"R4","Lomamulm",6
"R4","Poramicr",6
"R4","Coprhirt",5
"R4","Adiaaeth",5
"R4","Hakemicr",5
"R4","Aspegunn",5
"R4","Cheisies",5
"R4","Bursspin",5
"R4","Carebrev",5
"R4","Eucavimi",5
"R4","Eucacype",5
"R4","Stylgram",5
"R4","Euchjapo",5
"R4","Ranulapp",5
"R4","Diancaer",5
"R4","Coroscor",5
"R4","Wahlstri",5
"R4","Leptmyrt",5
"R4","Empominu",4
"R4","Goodhede",4
"R4","Schoapog",4
"R4","Epacbrev",4
"R4","Eucabrid",4
"R4","Eucasieb",4
"R4","Eucafast",4
"R4","Hypejapo",4
"R4","Rytipall",4
"R4","Acacmela",4
"R4","Ranugran",4
"R4","Smilaust",4
"R4","Meliurce",4
"R4","Aspeconf",4
"R4","Billscan",4
"R4","Lissstri",4
"R4","Persline",4
"R4","Verocaly",4
"R4","Leptpoly",3
"R4","Baecutil",3
"R4","Gerapote",3
"R4","Halohete",3
"R4","Pratpurp",3
"R4","Gahnsieb",3
"R4","Gonomicr",3
"R4","Baloaust",3
"R4","Epacpalu",3
"R4","Casslong",3
"R4","Eucalaev",3
"R4","Eucastel",3
"R4","Polysamb",3
"R4","Acacfali",3
"R4","Eustlati",3
"R4","Oreoerio",3
"R4","Oxalpere",3
"R4","Hoveline",3
"R4","Polyprol",3
"R4","Eucarubi",3
"R4","Epacmicr",3
"R4","Cassacul",3
"R4","Eucapola",3
"R4","Planvari",3
"R4","Lomamyri",3
"R4","Rytirace",2
"R4","Kunzeric",2
"R4","Eucanobi",2
"R4","Deyegunn",2
"R4","Leptgran",2
"R4","Neopaust",2
"R4","Hydrtrip",2
"R4","Juncusit",2
"R4","Lachfili",2
"R4","Epacimpr",2
"R4","Eucadeld",2
"R4","Urtiinci",2
"R4","Eucaobli",2
"R4","Tasmxerx",2
"R4","Geranegl",2
"R4","Melident",2
"R4","Pratpedu",2
"R4","Coprquad",2
"R4","Tylobarb",2
"R4","Eucaovat",2
"R4","Eucarobe",2
"R4","Oleaargo",2
"R4","Micrlanc",2
"R4","Stelflac",2
"R4","Leprsqua",2
"R4","Chryapic",2
"R4","Oleavisc",2
"R4","Ranupimp",2
"R4","Platlanc",2
"R4","Platform",2
"R4","Eucagloo",2
"R4","Hardviol",2
"R4","Eucagoni",2
"R4","Bedfarbo",2
"R4","Crascool",2
"R4","Veroderw",2
"R4","Bossbuxi",2
"R4","Epilbill",2
"R4","Seneline",2
"R4","Poa.cliv",2
"R4","Luzumode",2
"R4","Gonoteuc",2
"R4","Ampexiph",2
"R4","Bracdaph",2
"R4","Acroserr",2
"R4","Austscab",2
"R4","Dickanta",1
"R4","Eucafrax",1
"R4","Impecyli",1
"R4","Ranupleb",1
"R4","Bothmacr",1
"R4","Bracpopu",1
"R4","Lomaglau",1
"R4","Casucunc",1
"R4","Eucacali",1
"R4","Geraantr",1
"R4","Eucaelat",1
"R4","Pomaaspe",1
"R4","Lepigunn",1
"R4","Senepinf",1
"R4","Davilati",1
"R4","Celmcost",1
"R4","Poa.helm",1
"R4","Rytinivi",1
"R4","Scuthumi",1
"R4","Davimimo",1
"R4","Oleaphlo",1
"R4","Bankspin",1
"R4","Lomailic",1
"R4","Derwperf",1
"R4","Rytinudi",1
"R4","Daucgloc",1
"R4","Planhisp",1
"R4","Richcont",1
"R4","Lomasila",1
"R4","Hookhook",1
"R4","Heliruti",1
"R4","Baecgunn",1
"R4","Poa.fawc",1
"R4","Crasmaxg",1
"R4","Solegunn",1
"R4","Pimecurv",1
"R4","Poa.hiem",1
"R4","Tasmlanc",1
"R4","Eucaalbe",1
"R4","Oxalexil",1
"R4","Cassunca",1
"R4","Eucavolc",1
"R4","Lepilate",1
"R4","Senegunn",1
"R4","Verosubt",1
"R4","Bleccart",1
"R4","Astrhumi",1
"R4","Acipsimp",1
"R4","Cassquin",1
"R4","Acrohook",1
"R4","Pultproc",1
"R4","Hovemont",1
"R4","Cassmont",1
"R4","Leptcont",1
"R4","Bracscap",1
"R4","Poaensif",1
"R4","Austrudi",1
"R4","Entostri",1
"R4","Leptfili",1
"R4","Arrhmixt",1
"R4","Acacirro",1
"R4","Acaeechi",1
"R4","Acacterm",1
"R4","Cyataust",1
"R4","Proslasi",1
"R4","Dicemicr",1
"R4","Stelangu",1
"R4","Bulbbulb",1
"R4","Epacglac",1
"R4","Clemglyc",1
"R4","Oleaelle",1
"R4","Oreodist",1
"R5","Smilaust",52
"R5","Geitcymo",42
"R5","Cissanta",40
"R5","Gynojasm",39
"R5","Pandpanp",37
"R5","Acmesmit",32
"R5","Pittmult",31
"R5","Bleccart",25
"R5","Diostran",24
"R5","Lomalong",24
"R5","Opliimbe",23
"R5","Pseuvari",23
"R5","Synoglag",23
"R5","Eustlati",22
"R5","Blecneoh",22
"R5","Diancaer",22
"R5","Notelong",21
"R5","Guiosemg",21
"R5","Pellfalc",20
"R5","Strebrun",18
"R5","Ficucoro",18
"R5","Cisshypo",18
"R5","Pittundu",17
"R5","Gymnance",16
"R5","Maclcoch",15
"R5","Mallphil",15
"R5","Parsstra",15
"R5","Archcunn",15
"R5","Wilkhueg",15
"R5","Elaereti",15
"R5","Alecsubc",14
"R5","Cupaanac",14
"R5","Marsrost",14
"R5","Liviaust",14
"R5","Breyoblo",13
"R5","Asplaust",13
"R5","Cordstri",12
"R5","Pyrrrupe",12
"R5","Diosaust",12
"R5","Capparbo",11
"R5","Dorysass",11
"R5","Hibbscan",11
"R5","Eupolaur",11
"R5","Psycloni",11
"R5","Lophconf",11
"R5","Elaeaust",10
"R5","stepjapd",10
"R5","Calodubi",10
"R5","Glocferd",10
"R5","Polyeleg",10
"R5","Diplaust",10
"R5","Arthtene",10
"R5","Cryprigi",10
"R5","Backmyrt",9
"R5","Aphaphil",9
"R5","Myrsvari",9
"R5","Pterescu",9
"R5","Adiaform",9
"R5","Crypglau",9
"R5","Troclaur",9
"R5","Neoldeal",9
"R5","Allotoru",9
"R5","Melaquin",8
"R5","Ceraapet",8
"R5","Asplflab",8
"R5","Alyxrusc",8
"R5","Drypdep.",8
"R5","Cayrclem",8
"R5","Smilglyc",8
"R5","Eucamico",8
"R5","Cyataust",8
"R5","Hibbdent",8
"R5","Palmscan",8
"R5","Tasminsi",8
"R5","Syncglom",8
"R5","Clertome",7
"R5","Alchilic",7
"R5","Alphexce",7
"R5","Adiaaeth",7
"R5","Sarcstia",7
"R5","Tabepand",7
"R5","Pittrevo",7
"R5","Noteveno",7
"R5","Tylobarb",7
"R5","Platbifu",7
"R5","Caldpani",7
"R5","Linomono",7
"R5","Casuglau",6
"R5","Eucacamn",6
"R5","Claoaust",6
"R5","Dendexce",6
"R5","Dichrepe",6
"R5","Micrstip",6
"R5","Diospent",6
"R5","Micrscan",6
"R5","Cryptrip",6
"R5","Melimicr",6
"R5","Alpicaer",6
"R5","Flagindi",6
"R5","Sarcharv",6
"R5","Lomaspic",6
"R5","Crypmicr",6
"R5","rubmoluc",5
